"","domain","fem_p_16","popdens_16","netmig_r_16","gdp_eurhab_16","unraall_16","robb_r_10","burg_r_10","vthft_r_10","he_p_16","medage_16"
"169","SE12",0.499148475,43,1.341692981,40000,7.7,6.834164722,13.61951398,30.97951276,32.6,41.3
"170","SE21",0.496378896,25.4,1.475650744,39900,6.2,3.58394584,16.40943764,26.96949211,28.7,42.9
"171","SE22",0.501500123,105.9,1.319971505,39700,8.4,13.78880456,29.65997205,32.00263035,37.1,40.7
"172","SE23",0.499393929,67.7,1.179495851,45500,6.5,10.47127885,19.90867171,41.23830003,34.3,40.8
"173","SE31",0.497470632,13.3,1.227068472,37500,7.5,4.590180352,11.74370817,34.18194044,27.6,44.7
"174","SE32",0.496761143,5.3,0.90741853,39200,6.8,3.259057351,10.96228382,30.51662793,27.9,44.5
"175","SE33",0.492575681,3.4,0.628908755,42000,5.8,3.68341353,8.087918599,23.7180649,32.3,42.9
"176","UKC",0.509411728,307.4,0.353296177,26800,7,4.649454428,61.00729221,3.991258997,31,41.7
"177","UKD",0.507032873,511.9,0.374777275,31700,5,10.78096168,27.45761816,7.131586072,35,40.4
"178","UKE",0.506608633,351.9,0.328180248,28700,5.6,8.396442887,43.03512358,3.247130133,31.8,40.1
"179","UKF",0.506019066,302.8,0.806328277,29200,4.5,1.543517025,24.04047303,4.830015139,32.2,41.3
"180","UKG",0.505013365,446.9,0.615240478,30200,5.6,8.445843187,14.16488307,19.31847681,32.1,39.7
"181","UKH",0.507190616,320.6,0.493150398,32800,3.9,1.868661595,21.31631358,0.788283185,35.1,41.4
"182","UKI",0.502501019,5570.6,-0.013488953,64600,5.6,16.97074164,20.87690095,17.34877286,52.4,34.7
"183","UKJ",0.507531523,473.1,0.491808512,39300,3.5,13.78880456,23.51421203,16.25874142,40.9,41.2
"184","UKK",0.508486882,231.4,0.793731252,31600,3.8,7.30268598,16.29270654,14.00786669,38.2,43.4
"185","UKL",0.507489484,150.1,0.423762371,26500,4.4,0.652896282,11.69613069,1.900148758,34.8,42.2
"186","UKM",0.514000258,69.3,0.521074475,33900,5.1,4.744969488,32.76571226,16.17409232,44.1,41.8
"187","UKN",0.508783833,137.3,0.047010093,28100,5.7,7.032666899,38.13040912,14.64151707,31.1,38.3
